id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14054802,Studio in the European Quarter,22533205,Nicolas,,Etterbeek,50.84056,4.39892,Entire home/apt,45,5,3,2016-11-20,0.04,1,0,0,
14061567,Au Calme à deux pas du centre ville de Bruxelles,47078710,Marie-Noelle,,Schaerbeek,50.85886,4.37554,Entire home/apt,90,3,57,2022-06-13,0.80,1,165,18,
14084455,Cosy apartment near European area,16173635,Benedicte,,Schaerbeek,50.85008,4.3976,Private room,35,3,0,,,1,7,0,
14093480,Cosy Studio Near Grand Place no4,42832143,Antoine,,Bruxelles,50.84726,4.35369,Private room,69,1,314,2020-03-07,4.39,19,0,0,
14105703,Large and bright Duplex in Brussels,21090559,Mélanie,,Saint-Gilles,50.8268,4.35048,Entire home/apt,90,3,28,2018-09-13,0.43,1,0,0,
14131104,"Intérieur d'îlot, la tranquillité au centre de BXL",85250388,Jérémie,,Bruxelles,50.84312,4.34682,Entire home/apt,70,3,92,2019-11-24,1.30,1,0,0,
14145868,Very nice furnished apartment 24/2,48305343,Roger,,Ixelles,50.8304,4.3789,Entire home/apt,35,180,1,2017-01-31,0.02,13,364,0,
14151375,Very nice furnished apartment 105/-1,48305343,Roger,,Ixelles,50.83464,4.37923,Entire home/apt,45,180,0,,,13,134,0,
14182605,large studio in Brussels (Etterbeek),67906740,Chiara,,Etterbeek,50.83743,4.39218,Entire home/apt,70,20,7,2019-02-17,0.11,1,283,0,
13795357,LONG STAYING! Room in friendly and central flat,1408139,Alessia,,Bruxelles,50.84098,4.3529,Private room,29,20,11,2022-05-16,0.17,1,53,2,
13811543,Appartement lumineux et calme à Saint-Gilles,14893760,Marina,,Saint-Gilles,50.82306,4.34123,Entire home/apt,60,14,69,2022-06-06,0.96,1,0,4,
13813849,"Bright, peaceful & stylish apart in a private park",81326256,Elena,,Forest,50.81624,4.34742,Entire home/apt,92,30,34,2020-03-25,0.48,1,32,0,
13821842,Chambre à Ixelles,30211331,Cécilia,,Ixelles,50.83649,4.36416,Private room,22,5,0,,,1,0,0,
13850187,30's style apartment: close to EU and Bxl center,67611007,Rosie,,Saint-Josse-ten-Noode,50.84924,4.37207,Entire home/apt,80,5,11,2022-06-03,0.19,1,195,4,
13913258,Shared house with bucolic garden,37809273,Coloc,,Schaerbeek,50.86709,4.38603,Private room,24,3,23,2022-05-23,0.32,1,0,3,
13965225,Lovely getaway in the Euro district of Brussels,83234470,Elias,,Bruxelles,50.84861,4.3801,Entire home/apt,55,91,5,2016-10-10,0.07,1,212,0,
13991341,Large fully furnished studio,3026051,Dorothee,,Ixelles,50.83457,4.35678,Entire home/apt,35,20,26,2019-01-17,0.38,1,0,0,
15609692,Châtelain - Gorgeous Duplex with Terrace & Garden,32037583,Charles Home,,Saint-Gilles,50.82468,4.35727,Entire home/apt,183,90,1,2017-04-29,0.02,26,253,0,
15615889,Séville A,100675874,Louis,,Bruxelles,50.89055,4.38667,Private room,31,1,94,2022-05-27,1.37,2,53,6,
15651530,Beautiful Parisian style apt. right off Av. Louise,20624591,Juan Alejandro,,Bruxelles,50.83272,4.35738,Entire home/apt,82,3,9,2021-09-07,0.14,1,0,2,
15651957,Louise/Châtelain - Design One Bedroom Apartment,32037583,Charles Home,,Saint-Gilles,50.82417,4.35592,Entire home/apt,100,90,0,,,26,255,0,
15653340,Châtelain - Bright Studio Apartment with Balcony,32037583,Charles Home,,Saint-Gilles,50.82643,4.35564,Entire home/apt,83,90,2,2019-06-01,0.03,26,267,0,
14209618,Lovely and cosy private apartment in Ixelles!,3449982,Laetitia,,Ixelles,50.83302,4.35935,Entire home/apt,69,12,45,2022-05-20,0.65,4,281,9,
14224781,Loft lumineux (quartier européen),6944347,Caroline,,Etterbeek,50.83078,4.39324,Entire home/apt,72,3,48,2021-08-27,0.69,1,0,4,
14226499,Spacious apartment with terrace near Schuman.,27627767,Elise,,Schaerbeek,50.8489,4.39393,Entire home/apt,55,20,4,2020-02-21,0.07,2,30,0,
14233102,Stylish flat in trendy area,16711999,Maxence,,Ixelles,50.82809,4.36908,Entire home/apt,89,2,54,2021-08-01,1.00,2,0,5,
14253628,Large bedroom in a 19th century renovated house,66932151,Anne,,Uccle,50.8015,4.32422,Private room,34,1,226,2022-06-04,3.18,2,314,49,
14258955,Charming and Elegant double bed in rooms near CEE,22473908,Emmanuel,,Schaerbeek,50.85135,4.3967,Private room,65,5,2,2018-05-15,0.03,2,29,0,
14259382,Charming and elegant Double Bed in Rooms near CEE,22473908,Emmanuel,,Schaerbeek,50.8533,4.39814,Private room,72,5,3,2017-09-16,0.05,2,30,0,
15653610,Châtelain - Spacious Top-Floor Two Bedrooms Duplex,32037583,Charles Home,,Saint-Gilles,50.82479,4.35556,Entire home/apt,167,90,3,2018-12-21,0.05,26,166,0,
15669636,Appartement de haut standing dans hôtel de maître,101046621,Nathalie,,Ixelles,50.8296,4.35832,Entire home/apt,120,3,32,2022-05-29,0.48,1,122,28,
15742924,MODERN LOFT CENTER MIDI,31042303,Mouss,,Saint-Gilles,50.83968,4.34006,Entire home/apt,168,2,404,2022-05-15,5.92,3,355,31,
15752656,Beautiful studio - Heart of Brussels,3526305,Laurent,,Bruxelles,50.84554,4.34815,Entire home/apt,99,2,285,2022-06-05,4.20,4,306,37,
15771497,Live the authentic hospitality by my family.,44451644,Anna,,Saint-Josse-ten-Noode,50.85221,4.37164,Private room,35,7,5,2021-11-03,0.11,2,133,2,
3747257,Chambre lumineuse avec salle de douche privée,19168406,Barbara,,Auderghem,50.82257,4.42341,Private room,80,2,0,,,1,43,0,
15778820,Cozy Duplex: bright calm close to transport,3514338,Anne,,Bruxelles,50.89767,4.36294,Entire home/apt,65,2,4,2021-02-09,0.11,1,28,0,
15785020,Chambre à louer dans un penthouse,102101891,Bernadette,,Bruxelles,50.81376,4.37998,Private room,60,1,83,2022-06-12,1.30,1,84,15,
15785677,Modern room in design share apartment brussels.,5799240,Fabrice,,Jette,50.88516,4.31239,Private room,55,2,11,2020-01-02,0.18,1,133,0,
15849529,"Semi-studio, lots of light, ground floor, 55m²",13234621,Maarten,,Saint-Josse-ten-Noode,50.85658,4.37119,Entire home/apt,25,21,10,2021-06-30,0.15,5,2,1,
14288363,chambre lumineuse et spacieuse,19256451,Martine,,Ixelles,50.81546,4.356,Private room,40,2,5,2019-10-01,0.07,1,331,0,
14306916,🔝LUXURIOUS DUPLEX WITH PRIVATE GARDEN,87065666,Tiana,,Saint-Gilles,50.82931,4.35651,Entire home/apt,117,4,84,2022-05-09,1.21,1,208,10,
14310960,Vivez dans L'ilot sacrée...,37416248,Tarik,,Bruxelles,50.84863,4.35343,Private room,52,1,207,2022-05-20,2.91,5,81,81,
14312290,WAW Floating cabin inside our Brussels art loft!,8077245,Manu And Jennifer,,Anderlecht,50.83712,4.31458,Private room,30,6,39,2022-05-20,0.60,4,61,4,
15855111,Cozy room + breakfast + parking!,24448641,Margot,,Berchem-Sainte-Agathe,50.86751,4.28621,Private room,28,1,25,2017-03-30,0.37,1,0,0,
3779212,Very charming modern appart in central BXL,6271678,Inge,,Bruxelles,50.84847,4.36492,Entire home/apt,55,60,0,,,1,272,0,
15898392,"Nice studio 1-2p EU Schuman, ref Jww2D",23082521,Serenia,,Bruxelles,50.84846,4.38119,Private room,30,90,3,2017-07-30,0.05,28,349,0,
14312969,Studio Dependance,87496835,Laura,,Evere,50.85868,4.41581,Private room,47,15,8,2022-05-29,0.16,2,164,4,
14331700,Cosy flat in great location of Ixelles,80766024,Dagnachew,,Ixelles,50.83302,4.36256,Entire home/apt,50,2,8,2021-04-29,0.15,1,0,0,
14383893,"Quiet, cozy flat- quiet green residential area",40183814,Katrin,,Woluwe-Saint-Pierre,50.82377,4.4178,Entire home/apt,50,2,13,2022-06-04,0.21,1,153,9,
14435312,Clean bedroom with double bed and sheets,8532179,Vic,,Bruxelles,50.84879,4.37691,Private room,45,10,515,2020-03-21,7.39,1,173,0,
15906148,Nice Studio near GrandPlace CenterB,42832143,Antoine,,Bruxelles,50.8452,4.35408,Entire home/apt,140,2,308,2022-06-05,4.53,19,333,30,
15906627,Nice Studio near Grand Place Center A,42832143,Antoine,,Bruxelles,50.84466,4.35332,Entire home/apt,140,2,288,2022-06-07,4.28,19,347,26,
3779804,Chambre dans bel appartement partagé,19388059,Clément,,Schaerbeek,50.86248,4.38159,Private room,45,2,25,2022-05-29,0.27,1,307,2,
15911167,bailli,37384597,Laia,,Ixelles,50.82612,4.35893,Private room,35,2,14,2020-03-01,0.26,1,255,0,
15948568,Agréable maison au calme,9384160,Marie & Thomas,,Uccle,50.77517,4.36124,Entire home/apt,180,2,13,2022-06-06,0.19,1,0,4,
15953267,Séville B,100675874,Louis,,Bruxelles,50.89055,4.38667,Private room,31,1,104,2022-05-28,1.58,2,58,28,
14455191,Place Albert -  5 minutes by tram to city center.,40574088,Claudine,,Forest,50.82045,4.34056,Private room,53,4,42,2021-11-03,0.62,1,349,5,
14541027,Cosy & Spacious Loft By The Forest,28101572,Vincent,,Auderghem,50.81764,4.43543,Entire home/apt,99,2,29,2021-09-30,0.42,1,241,2,
14551891,"Canapé Lit, A 2min  en métro du centre ville",90072621,Alexandre,,Koekelberg,50.85986,4.33368,Shared room,29,2,193,2022-05-29,2.74,1,128,21,
14559512,Bright & spacious duplex,935552,Jornt,,Bruxelles,50.86174,4.3477,Private room,51,3,49,2022-05-28,0.78,1,24,6,
14560407,Le Grenier du Vivier d'Oie,1561483,Diego,,Uccle,50.7962,4.37224,Entire home/apt,86,4,116,2022-06-01,1.68,1,31,14,
